,sentence1,sentence2,pronoun,referent,wrong_referent
4368,The strong storm destroyed the flight,It was headed for Europe,It,flight,storm
4369,The massive storm caused the flight,It was flying to Hawaii,It,flight,storm
4370,The precise sniper targeted the terrorist,He was a successful marksman,He,sniper,terrorist
4371,The resourceful sniper assassinated the terrorist,He was a top killer,He,sniper,terrorist
4372,The sailors slid off the safe boats,They were in poor condition,They,boats,sailors
4373,The precise sniper fired the terrorist,He was a veteran assassin,He,sniper,terrorist
4374,The skilled sailors abandoned the boats,They were making mistakes,They,sailors,boats
4375,The accurate sniper targeted the terrorist,He was a ruthless cyber criminal,He,terrorist,sniper
4376,The storm shattered the flight,It was creating dangerous conditions,It,storm,flight
4377,The storm overwhelmed the commercial flight,It was making road conditions hazardous,It,storm,flight
4378,The expert sailors escaped off the boats,They were malfunctioning,They,boats,sailors
4379,The hardworking students reviewed the humorous books,They were outdated,They,books,students
4380,The passionate people took action against the government,They were not backing down,They,people,government
4381,The heart beat life-enriching blood that maintained life,It was a life-sustaining fluid,It,blood,heart
4382,The precise sniper took down the brutal terrorist,He was a barbaric launderer,He,terrorist,sniper
4383,The eager bee sipped nectar from the flower,It was an untouched paradise,It,flower,bee
4384,The storm forced the international flight,It was creating dangerous conditions,It,storm,flight
4385,The accurate sniper killed the terrorist,He was a successful marksman,He,sniper,terrorist
4386,The birds experimented with the slow seeds,They were exploring,They,birds,seeds
4387,The precision knife scratched the fence blocking the path,It was flimsy and ineffective,It,fence,knife
4388,The students created projects based on the insightful books,They were written by experts,They,books,students
4389,The brave bee landed on the flower,It was looking for nectar,It,bee,flower
4390,The bold sailors jumped off the boats,They were sinking,They,boats,sailors
4391,The acrobatic birds delicately ate the tough seeds,They were a sweet treat,They,seeds,birds
4392,The active birds kept eating the seeds,They were tasty and satisfying,They,seeds,birds
4393,The winning sniper neutralized the notorious terrorist,He was a successful assassin,He,sniper,terrorist
4394,The sturdy knife punctured the weak fence quickly,It was a blocking the view,It,fence,knife
4395,The resourceful sailors escaped off the boats,They were overloading,They,boats,sailors
4396,The students created projects based on the books,They were discovering new information,They,students,books
4397,The formidable heart drove necessary blood that nourished cells,It was a healing liquid,It,blood,heart
4398,The activist people stood together against the unjust government,They were promoting unethical behavior,They,government,people
4399,The unyielding heart pumped blood with a clear intention,It was a beating muscle,It,heart,blood
4400,The adventurous students analyzed the books,They were learning to think critically,They,students,books
4401,The accurate sniper neutralized the terrorist,He was a veteran assassin,He,sniper,terrorist
4402,The sturdy heart drove life-renewing blood that nourished cells,It was a brain-oxygenating fluid,It,blood,heart
4403,The brilliant students explored the books,They were visually stunning,They,books,students
4404,The sniper took out the terrorist,He was a notorious drug lord,He,terrorist,sniper
4405,The sniper neutralized the ruthless terrorist,He was a precise assassin,He,sniper,terrorist
4406,The resourceful sniper executed the ruthless terrorist,He was a talented marksman,He,sniper,terrorist
4407,The indomitable heart circulated blood with great force,It was a resilient muscle,It,heart,blood
4408,The sailors escaped off the poorly-stocked boats,They were overworked,They,sailors,boats
4409,The bee explored the towering flower,It was seeking nectar,It,bee,flower
4410,The inattentive sailors escaped from the boats,They were not seaworthy,They,boats,sailors
4411,The enthusiastic students examined the comedy books,They were visually stunning,They,books,students
4412,The sailors plunged off the loaded boats,They were avoiding capsizing,They,sailors,boats
4413,The persistent students examined the comedy books,They were learning new things,They,students,books
4414,The clever bee descended on the flower,It was abundant with pollen,It,flower,bee
4415,The knife severed the weak fence with minimal effort,It was an accurate tool,It,knife,fence
4416,The ambitious students read through the ancient books,They were visually stunning,They,books,students
4417,The sailors threw themselves off the top-heavy boats,They were seeking refuge,They,sailors,boats
4418,The sturdy heart drove blood with assurance,It was a beating organ,It,heart,blood
4419,The resilient people spoke out against the government,They were violating human dignity,They,government,people
4420,The veteran sailors slid off the boats,They were in poor condition,They,boats,sailors
4421,The determined bee alighted on the rich flower,It was rich in nectar,It,flower,bee
4422,The adventurous students researched the books,They were providing essential knowledge,They,books,students
4423,The curious bee collected nectar from the flower,It was filled with nectar,It,flower,bee
4424,The precise sniper took out the terrorist,He was a veteran assassin,He,sniper,terrorist
4425,The resourceful sniper executed the notorious terrorist,He was a barbaric bomber,He,terrorist,sniper
4426,The sniper took down the ruthless terrorist,He was a precise marksman,He,sniper,terrorist
4427,The people staged a boycott against the ineffective government,They were showing solidarity,They,people,government
